type,subtype,value
Lambda,CfA2_FLWO|CfA2_AC_Harris_V,20
Lambda,CfA34_FLWO|CfA34_4Sh_Harris_V,20
Lambda,CfA2_FLWO|CfA2_AC_SAO_R,20
Lambda,CfA2_FLWO|CfA2_4Sh1_SAO_R,20
Lambda,CfA2_FLWO|CfA2_4Sh3_SAO_R,20
Lambda,CfA2_FLWO|CfA2_4Sh3_Harris_R,20
Lambda,CfA2_FLWO|CfA2_AC_Harris_R,20
Lambda,CfA34_FLWO|CfA34_4Sh_Harris_R,20
Lambda,CfA2_FLWO|CfA2_AC_SAO_I,20
Lambda,CfA2_FLWO|CfA2_4Sh1_SAO_I,20
Lambda,CfA2_FLWO|CfA2_4Sh3_SAO_I,20
Lambda,CfA2_FLWO|CfA2_4Sh3_Harris_I,20
Lambda,CfA2_FLWO|CfA2_AC_Harris_I,20
Lambda,CfA34_FLWO|CfA34_4Sh_Harris_I,20
Zeropoint,DECam|DECam_g,0.01
Zeropoint,DECam|DECam_r,0.01
Zeropoint,DECam|DECam_z,0.01
Zeropoint,DECam|DECam_i,0.01
Lambda,DECam|DECam_g,10.
Lambda,DECam|DECam_r,10.
Lambda,DECam|DECam_z,10.
Lambda,DECam|DECam_i,10.
Zeropoint,MOSAICII|MOSAICII_R,0.01
Zeropoint,MOSAICII|MOSAICII_I,0.01
Lambda,MOSAICII|MOSAICII_R,10.
Lambda,MOSAICII|MOSAICII_I,10.
Zeropoint,WFPC2PC|WFPC2PC_F850LP,0.01
Zeropoint,ISAAC|ISAAC_Js,0.01
Zeropoint,CFH12K|CFH12K_I,0.01
Zeropoint,WFPC2PC|WFPC2PC_F814W,0.01
Zeropoint,WFPC2PC|WFPC2PC_F675W,0.01
Zeropoint,CFH12K|CFH12K_R,0.01
Zeropoint,MOSAICII|MOSAICII_AMANULLAH_I,0.01
Zeropoint,FORS1|FORS1_R,0.01
Zeropoint,NIRI|NIRI_J,0.01
Zeropoint,FORS1|FORS1_I,0.01
Lambda,WFPC2PC|WFPC2PC_F850LP,10
Lambda,ISAAC|ISAAC_Js,10
Lambda,CFH12K|CFH12K_I,10
Lambda,WFPC2PC|WFPC2PC_F814W,10
Lambda,WFPC2PC|WFPC2PC_F675W,10
Lambda,CFH12K|CFH12K_R,10
Lambda,MOSAICII|MOSAICII_AMANULLAH_I,10
Lambda,FORS1|FORS1_R,10
Lambda,NIRI|NIRI_J,10
Lambda,FORS1|FORS1_I,10
Zeropoint,ACSWF|F625W,0.01
Zeropoint,ACSWF|F775W,0.01
Zeropoint,ACSWF|F850LP,0.01
Zeropoint,WFC3|WFC3_f160w,0.01
Zeropoint,WFC3|WFC3_f125w,0.01
Zeropoint,WFC3|WFC3_f105w,0.01
Zeropoint,WFC3|WFC3_f814w,0.022360679775
Zeropoint,ACSWF|F814W,0.01
Zeropoint,ACSWF|F850LP_3pix,0.01
Zeropoint,WFC3|WFC3_f127m,0.01
Zeropoint,WFC3|WFC3_f139m,0.01
Zeropoint,WFC3|WFC3_f140w,0.01
Zeropoint,WFC3|WFC3_f153m,0.01
Lambda,ACSWF|F625W,10
Lambda,ACSWF|F775W,10
Lambda,ACSWF|F814W,10
Lambda,ACSWF|F850LP,10
Lambda,WFC3|WFC3_f160w,10
Lambda,WFC3|WFC3_f125w,10
Lambda,WFC3|WFC3_f105w,10
Lambda,WFC3|WFC3_f127m,10
Lambda,WFC3|WFC3_f139m,10
Lambda,WFC3|WFC3_f140w,10
Lambda,WFC3|WFC3_f153m,10
Lambda,ACSWF|F850LP_3pix,10
Lambda,WFC3|WFC3_f814w,10
Zeropoint,NICMOS2|F160W,0.023
Zeropoint,NICMOS2|F110W_faint,0.022
Zeropoint,ACSWF|F606W,0.01
Lambda,NICMOS2|F160W,10
Lambda,NICMOS2|F110W_faint,10
Lambda,ACSWF|F606W,10
Zeropoint,KeckAO|Keck_H,0.01
Lambda,KeckAO|Keck_H,10
Zeropoint,MEGACAMPSF|g,0.003
Zeropoint,MEGACAMPSF|r,0.003
Zeropoint,MEGACAMPSF|i,0.003
Zeropoint,MEGACAMPSF|z,0.003
Lambda,MEGACAMPSF|g,10
Lambda,MEGACAMPSF|r,10
Lambda,MEGACAMPSF|i,10
Lambda,MEGACAMPSF|z,10
Zeropoint,TONRY|TONRY_Z,0.01
Zeropoint,TONRY|TONRY_J,0.01
Zeropoint,TONRY|TONRY_R,0.01
Zeropoint,TONRY|TONRY_I,0.01
Lambda,TONRY|TONRY_Z,10
Lambda,TONRY|TONRY_J,10
Lambda,TONRY|TONRY_R,10
Lambda,TONRY|TONRY_I,10
